answer	answer_sentenceid	questionid	storyid
Ellen 's house	mc500.train.0_17	mc500.train.0_Q11	mc500.train.0
Ellen greeted Alyssa and they both had some lemonade to drink.	mc500.train.0_7	mc500.train.0_Q12	mc500.train.0
eating After eating , the ladies went back to Ellen 's house to have fun	mc500.train.0_17	mc500.train.0_Q13	mc500.train.0
Yes	mc500.train.0_18	mc500.train.0_Q14	mc500.train.0
Yes	mc500.train.0_6	mc500.train.0_Q15	mc500.train.0
going swimming	mc500.train.0_6	mc500.train.0_Q16	mc500.train.0
Yes	mc500.train.0_0	mc500.train.0_Q17	mc500.train.0
She's from Charlotte.	mc500.train.0_1	mc500.train.0_Q18	mc500.train.0
-	-	mc500.train.0_Q19	mc500.train.0
the ladies	mc500.train.0_17	mc500.train.0_Q2	mc500.train.0
Alyssa	mc500.train.0_8	mc500.train.0_Q20	mc500.train.0
to have fun	mc500.train.0_17	mc500.train.0_Q21	mc500.train.0
Yes	mc500.train.0_17	mc500.train.0_Q22	mc500.train.0
to Ellen 's house	mc500.train.0_17	mc500.train.0_Q23	mc500.train.0
from Atlanta	mc500.train.0_2	mc500.train.0_Q3	mc500.train.0
It was a happy time for everyone.	mc500.train.0_10	mc500.train.0_Q4	mc500.train.0
because they were tired	mc500.train.0_19	mc500.train.0_Q5	mc500.train.0
-	-	mc500.train.0_Q6	mc500.train.0
Alyssa	mc500.train.0_20	mc500.train.0_Q7	mc500.train.0
The restaurant had a special on catfish.	mc500.train.0_12	mc500.train.0_Q8	mc500.train.0
Kristin had soup.	mc500.train.0_15	mc500.train.0_Q9	mc500.train.0
When at the store, Will had a good laugh at a very silly looking dog.	mc500.train.111_12	mc500.train.111_Q0	mc500.train.111
to thunder	mc500.train.111_13	mc500.train.111_Q1	mc500.train.111
he	mc500.train.111_15	mc500.train.111_Q10	mc500.train.111
He also had jam with it.	mc500.train.111_5	mc500.train.111_Q11	mc500.train.111
chicken , gravy or	mc500.train.111_6	mc500.train.111_Q12	mc500.train.111
he did n't have to get wet walking home	mc500.train.111_15	mc500.train.111_Q13	mc500.train.111
to rain	mc500.train.111_10	mc500.train.111_Q14	mc500.train.111
a napkin	mc500.train.111_9	mc500.train.111_Q2	mc500.train.111
the store Will	mc500.train.111_12	mc500.train.111_Q3	mc500.train.111
in the kitchen 	mc500.train.111_7	mc500.train.111_Q4	mc500.train.111
a napkin	mc500.train.111_9	mc500.train.111_Q5	mc500.train.111
in the trashcan	mc500.train.111_9	mc500.train.111_Q6	mc500.train.111
The song was about a flower.	mc500.train.111_1	mc500.train.111_Q7	mc500.train.111
his favorite song	mc500.train.111_0	mc500.train.111_Q8	mc500.train.111
the night sky	mc500.train.111_3	mc500.train.111_Q9	mc500.train.111
one morning	mc500.train.18_0	mc500.train.18_Q0	mc500.train.18
collected of the flowers	mc500.train.18_6	mc500.train.18_Q1	mc500.train.18
her mother	mc500.train.18_11	mc500.train.18_Q10	mc500.train.18
Her mother 's favorite	mc500.train.18_12	mc500.train.18_Q11	mc500.train.18
Finally, her mother woke up at 8:30 AM, and Kelly was excited!	mc500.train.18_10	mc500.train.18_Q12	mc500.train.18
with string	mc500.train.18_6	mc500.train.18_Q13	mc500.train.18
the biggest , bunch of flowers her mother had ever seen	mc500.train.18_2	mc500.train.18_Q14	mc500.train.18
Morgan	mc500.train.18_8	mc500.train.18_Q15	mc500.train.18
she hid them in a new spot	mc500.train.18_9	mc500.train.18_Q16	mc500.train.18
her mother	mc500.train.18_11	mc500.train.18_Q17	mc500.train.18
her back yard	mc500.train.18_0	mc500.train.18_Q18	mc500.train.18
The red ones	mc500.train.18_5	mc500.train.18_Q19	mc500.train.18
Kelly gave her mother the flowers.	mc500.train.18_11	mc500.train.18_Q2	mc500.train.18
Yes	mc500.train.18_0	mc500.train.18_Q20	mc500.train.18
collected After Kelly collected all of the flowers , she went inside and tied them together with string	mc500.train.18_6	mc500.train.18_Q21	mc500.train.18
a lot of different flowers	mc500.train.18_4	mc500.train.18_Q3	mc500.train.18
her mother	mc500.train.18_11	mc500.train.18_Q4	mc500.train.18
her yard	mc500.train.18_3	mc500.train.18_Q5	mc500.train.18
in a secret spot	mc500.train.18_7	mc500.train.18_Q6	mc500.train.18
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present	mc500.train.18_1	mc500.train.18_Q7	mc500.train.18
was	mc500.train.18_10	mc500.train.18_Q8	mc500.train.18
The red ones were big, the orange ones were small, and the green ones were in the middle.	mc500.train.18_5	mc500.train.18_Q9	mc500.train.18
Saturday afternoon	mc500.train.23_0	mc500.train.23_Q0	mc500.train.23
It was Saturday afternoon and Andrew was bored.	mc500.train.23_0	mc500.train.23_Q1	mc500.train.23
The people and animals at the circus	mc500.train.23_16	mc500.train.23_Q10	mc500.train.23
Andrew and his dad ate lots of peanuts.	mc500.train.23_18	mc500.train.23_Q11	mc500.train.23
at the circus	mc500.train.23_20	mc500.train.23_Q12	mc500.train.23
fun at the circus	mc500.train.23_20	mc500.train.23_Q13	mc500.train.23
by the door 	mc500.train.23_5	mc500.train.23_Q14	mc500.train.23
The elephant	mc500.train.23_17	mc500.train.23_Q15	mc500.train.23
The people and animals at the circus did lots of tricks.	mc500.train.23_16	mc500.train.23_Q16	mc500.train.23
-	-	mc500.train.23_Q17	mc500.train.23
need your goldfish	mc500.train.23_12	mc500.train.23_Q18	mc500.train.23
Andrew and his dad	mc500.train.23_20	mc500.train.23_Q19	mc500.train.23
outside the window	mc500.train.23_5	mc500.train.23_Q2	mc500.train.23
On the front was a picture of an elephant.	mc500.train.23_6	mc500.train.23_Q20	mc500.train.23
On the front was a picture of an elephant.	mc500.train.23_6	mc500.train.23_Q3	mc500.train.23
On the front	mc500.train.23_6	mc500.train.23_Q4	mc500.train.23
all day	mc500.train.23_1	mc500.train.23_Q5	mc500.train.23
the story	mc500.train.23_8	mc500.train.23_Q6	mc500.train.23
town	mc500.train.23_9	mc500.train.23_Q7	mc500.train.23
no	mc500.train.23_10	mc500.train.23_Q8	mc500.train.23
some goldfish food	mc500.train.23_13	mc500.train.23_Q9	mc500.train.23
by the river	mc500.train.25_0	mc500.train.25_Q0	mc500.train.25
by the river	mc500.train.25_0	mc500.train.25_Q1	mc500.train.25
was	mc500.train.25_8	mc500.train.25_Q10	mc500.train.25
Maxine 's dad	mc500.train.25_8	mc500.train.25_Q11	mc500.train.25
Maxine 's dad	mc500.train.25_8	mc500.train.25_Q12	mc500.train.25
-	-	mc500.train.25_Q13	mc500.train.25
So one day when Maxine and Thomas were swimming	mc500.train.25_6	mc500.train.25_Q14	mc500.train.25
Martin	mc500.train.25_5	mc500.train.25_Q15	mc500.train.25
loved in the water	mc500.train.25_1	mc500.train.25_Q16	mc500.train.25
threw rocks	mc500.train.25_7	mc500.train.25_Q17	mc500.train.25
that Cindy	mc500.train.25_10	mc500.train.25_Q18	mc500.train.25
that	mc500.train.25_10	mc500.train.25_Q19	mc500.train.25
any rocks	mc500.train.25_10	mc500.train.25_Q2	mc500.train.25
that	mc500.train.25_10	mc500.train.25_Q20	mc500.train.25
that	mc500.train.25_10	mc500.train.25_Q3	mc500.train.25
every day	mc500.train.25_1	mc500.train.25_Q4	mc500.train.25
loved in the water	mc500.train.25_1	mc500.train.25_Q5	mc500.train.25
in the water	mc500.train.25_11	mc500.train.25_Q6	mc500.train.25
since they could play in the water as much as they wanted without other frogs being mean to them	mc500.train.25_11	mc500.train.25_Q7	mc500.train.25
that	mc500.train.25_10	mc500.train.25_Q8	mc500.train.25
that	mc500.train.25_10	mc500.train.25_Q9	mc500.train.25
